x y config replicate
0.780 1.89 Gemini_ON r01
1.000 -3.77 Gemini_ON r02
1.220 0.23 Gemini_ON r03
1.780 -5.39 Gemini_OFF r01
2.000 3.12 Gemini_OFF r02
2.220 -2.98 Gemini_OFF r03
2.780 16.69 Claude r01
3.000 13.96 Claude r02
3.220 12.20 Claude r03
3.780 9.24 DeepSeek r01
4.000 11.82 DeepSeek r02
4.220 6.68 DeepSeek r03
4.780 8.70 Qwen r01
5.000 8.07 Qwen r02
5.220 -1.23 Qwen r03
5.780 9.43 GPT-5.6 r01
6.000 7.06 GPT-5.6 r02
6.220 9.35 GPT-5.6 r03
6.780 15.37 Grok r01
7.000 19.89 Grok r02
7.220 8.20 Grok r03
