x y config replicate
0.780 2.12 Gemini_ON r01
1.000 6.08 Gemini_ON r02
1.220 8.84 Gemini_ON r03
1.780 7.97 Gemini_OFF r01
2.000 3.96 Gemini_OFF r02
2.220 6.35 Gemini_OFF r03
2.780 7.14 Claude r01
3.000 5.14 Claude r02
3.220 6.96 Claude r03
3.780 2.91 DeepSeek r01
4.000 5.00 DeepSeek r02
4.220 3.58 DeepSeek r03
4.780 3.67 Qwen r01
5.000 1.27 Qwen r02
5.220 5.62 Qwen r03
5.780 6.56 GPT-5.6 r01
6.000 7.58 GPT-5.6 r02
6.220 2.43 GPT-5.6 r03
6.780 6.02 Grok r01
7.000 9.62 Grok r02
7.220 5.70 Grok r03
