# op-pl proper names — normalized forms observed in the source.
# form	note
antoni	proper name — keep as-is
antoniego	proper name — keep as-is
bronisława	proper name — keep as-is
bronisławy	proper name — keep as-is
bronisławę	proper name — keep as-is
julianna	proper name — keep as-is
julianny	proper name — keep as-is
międzyrzecza	proper name (place) — keep as-is
międzyrzecze	proper name (place) — keep as-is
międzyrzeczu	proper name (place) — keep as-is
przemysława	proper name — keep as-is
przemysławy	proper name — keep as-is
teofil	proper name — keep as-is
teofila	proper name — keep as-is
